Key,Id,Arabic(ar),Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Hindi(hi),Italian(it),Japanese(ja),Korean(ko),Russian(ru),Spanish(es)
"tid_play",36859666432,"يلعب","玩","Play","Jouer","Spiel","खेल","Giocare a","演奏する","놀다","Играть","Jugar"
"tid_tutorial",1117480148992,"الدورة التعليمية","教程","Tutorial","Didacticiel","Lernprogramm","ट्यूटोरियल","Tutorial","チュートリアル","지도 시간","Руководство","Tutorial"
"tid_tutorial_step_1",1655152173056,"اضغط على <sprite=0> واستمر في الضغط عليه
","按 <sprite=0> 并按住它","Press <sprite=0> and hold it","Appuyez sur <sprite=0> et maintenez-le","Drücke <sprite=0> und halte es gedrückt
","<sprite=0> दबाएं और इसे दबाए रखें
","Premi <sprite=0> e tieni premuto
","<sprite=0>を押したままにします
","<sprite=0>을 누르고 있으십시오.
","Нажмите <sprite=0> и удерживайте
","Presiona <sprite=0> y mantenlo"
"tid_tutorial_step_2",1743215779840,"الآن ، انقر فوق <sprite=4>
","现在，点击 <sprite=4>","Now, tap <sprite=4>","Maintenant, appuyez sur <sprite=4>
","Tippen Sie nun auf <sprite=4>
","अब, <sprite=4> पर टैप करें
","Ora tocca <sprite=4>
","次に、<sprite=4>をタップします
","이제 <sprite=4>를 탭합니다.
","Теперь нажмите <sprite=4>
","Ahora, presiona <sprite=4>"
"tid_tutorial_step_3",1773964222464,"استخدم <sprite=5> وحرر <sprite=0>
","使用 <sprite=5> 并释放 <sprite=0>","Use <sprite=5> and release the <sprite=0>","Utilisez <sprite=5> et relâchez le <sprite=0>
","Verwenden Sie <sprite=5> und lassen Sie das <sprite=0> los
","<sprite=5> का उपयोग करें और <sprite=0> को छोड़ दें
","Usa <sprite=5> e rilascia lo <sprite=0>
","<sprite=5>を使用して、<sprite=0>を解放します
","<sprite=5>를 사용하고 <sprite=0>을 해제합니다.
","Используйте <sprite=5> и отпустите <sprite = 0>
","Presiona <sprite=5> y suelta <sprite=0>"
"tid_tutorial_step_4",1787813814272,"اضغط على <sprite=0> واستمر في الضغط عليه
","
按 <sprite=0> 并按住它","Press <sprite=0> and hold it","Appuyez sur <sprite=0> et maintenez-le
","Drücke <sprite=0> und halte es gedrückt
","
<sprite=0> दबाएं और इसे दबाए रखें","Premi <sprite=0> e tieni premuto
","<sprite=0>を押したままにします
","<sprite=0>을 누르고 있으십시오.
","Нажмите <sprite=0> и удерживайте
","Presiona <sprite=0> y mantenlo"
"tid_tutorial_step_5",1802951057408,"حدد باللمس <sprite=4> x2
","点击 <sprite=4> x2","Tap <sprite=4> x2","Appuyez sur <sprite=4> x2
","Tippen Sie auf <sprite=4> x2
","<sprite=4> x2 . पर टैप करें
","Tocca <sprite=4> x2
","<sprite=4> x2をタップします
","<sprite=4> x2 누르기
","Коснитесь <sprite=4> x2.
","Presiona <sprite=4> x2"
"tid_tutorial_step_6",1817119416320,"حرر <sprite=0>
","
发布 <sprite=0>","Release <sprite=0>","Relâchez <sprite=0>
","<sprite=0> loslassen
","रिलीज <sprite=0>
","Rilascia <sprite=0>
","<sprite=0>を解放します
","<sprite=0> 해제
","Выпуск <sprite=0>
","Suelta <sprite=0>"
"tid_tutorial_step_7",1833351372800,"اضغط على <sprite=1> واستمر في الضغط عليه
","
按 <sprite=1> 并按住它","Press <sprite=1> and hold it","Appuyez sur <sprite=1> et maintenez-le enfoncé
","Drücke <sprite=1> und halte es gedrückt
","<sprite=1> दबाएं और इसे दबाए रखें
","Premi <sprite=1> e tieni premuto
","<sprite=1>を押したままにします
","<sprite=1>을 누르고 있으십시오.
","Нажмите <sprite=1> и удерживайте
","Presiona <sprite=1> y mantenlo"
"tid_tutorial_step_8",1847733641216,"حدد باللمس <sprite=3>
","点按 <sprite=3>","Tap <sprite=3>","Appuyez sur <sprite=3>
","Tippe auf <sprite=3>
","टैप करें <sprite=3>
","Tocca <sprite=3>
","<sprite=3>をタップします
","<sprite=3>을 탭합니다.
","Коснитесь <sprite=3>.
","Presiona <sprite=3>"
"tid_tutorial_step_9",1861897805824,"حرر <sprite=1> وانقر على <sprite=5>
","
释放 <sprite=1> 并点击 <sprite=5>","Release <sprite=1> and tap <sprite=5>","Relâchez <sprite=1> et appuyez sur <sprite=5>
","Lass <sprite=1> los und tippe auf <sprite=5>
","रिलीज <sprite=1> और टैप करें <sprite=5>
","Rilascia <sprite=1> e tocca <sprite=5>
","<sprite=1>を放し、<sprite=5>をタップします
","<sprite=1>을 놓고 <sprite=5>를 탭합니다.
","Отпустите <sprite=1> и коснитесь <sprite=5>.
","Suelta <sprite=1> y presiona <sprite=5>"
"tid_tutorial_step_10",1884786122752,"اضغط على <sprite=1> واستمر في الضغط عليه
","按 <sprite=1> 并按住它","Press <sprite=1> and hold it","Appuyez sur <sprite=1> et maintenez-le enfoncé
","Drücke <sprite=1> und halte es gedrückt
","<sprite=1> दबाएं और इसे दबाए रखें
","Premi <sprite=1> e tieni premuto
","<sprite=1>を押したままにします
","<sprite=1>을 누르고 있으십시오.
","Нажмите <sprite=1> и удерживайте
","Presiona <sprite=1> y mantenlo"
